customer_id,age,gender,location,acquisition_date,total_orders,total_spent,avg_order_value,days_since_last_purchase,preferred_categories,customer_lifetime_value,support_tickets,email_open_rate,email_click_rate,mobile_usage_pct,return_rate,q4_purchase_ratio,days_as_customer
CUST_00084,25,M,San Jose,2023-05-09 20:08:10.612135,5,440.13,87.89,5,"Sports, Books",540.15,0,0.363,0.113,0.218,0.24,1.143,803
CUST_00085,30,M,Philadelphia,2024-01-14 20:08:10.612135,9,1254.56,134.42,59,Clothing,1668.59,2,0.448,0.121,0.436,0.075,1.148,553
CUST_00086,30,F,Los Angeles,2023-05-02 20:08:10.612135,7,919.78,135.93,9,"Sports, Clothing",1127.01,1,0.298,0.035,0.496,0.054,0.777,810
CUST_00087,40,F,Chicago,2023-12-08 20:08:10.612135,16,2204.67,136.91,30,Clothing,2886.62,3,0.394,0.149,0.582,0.061,0.502,590
CUST_00088,40,M,New York,2024-01-10 20:08:10.612135,14,662.17,48.14,24,Beauty,879.13,0,0.386,0.085,0.729,0.167,0.846,557
CUST_00089,50,F,Phoenix,2024-12-14 20:08:10.612135,6,1229.63,196.7,11,Books,2259.02,2,0.623,0.13,0.562,0.088,0.767,218
CUST_00090,35,M,Dallas,2024-10-15 20:08:10.612135,8,955.14,119.15,45,"Home, Books",1582.16,3,0.776,0.037,0.518,0.035,0.509,278
CUST_00091,25,M,Los Angeles,2024-07-31 20:08:10.612135,9,488.81,52.79,87,"Beauty, Clothing",740.81,2,0.195,0.049,0.832,0.138,0.964,354
CUST_00092,40,M,Jacksonville,2023-10-13 20:08:10.612135,12,1666.38,139.47,15,Clothing,2137.15,2,0.28,0.035,0.696,0.067,1.181,646
CUST_00093,45,F,San Antonio,2023-04-30 20:08:10.612135,17,2029.14,119.27,56,Electronics,2485.19,3,0.182,0.063,0.515,0.006,0.945,812
CUST_00094,35,M,Phoenix,2025-05-29 20:08:10.612135,13,1171.48,89.45,75,"Home, Electronics, Books",5282.9,2,0.539,0.241,0.754,0.012,0.729,52
CUST_00095,45,M,Los Angeles,2025-04-26 20:08:10.612135,18,2269.55,127.43,1,"Books, Sports",7142.42,2,0.492,0.133,0.968,0.163,0.902,85
CUST_00096,35,M,San Diego,2023-01-23 20:08:10.612135,12,1334.07,113.99,18,Sports,1601.92,2,0.604,0.098,0.577,0.078,0.73,909
CUST_00097,35,F,Austin,2022-10-25 20:08:10.612135,11,1458.25,138.21,56,"Clothing, Beauty",1724.65,2,0.441,0.037,0.793,0.066,0.73,999
CUST_00098,35,M,Philadelphia,2023-03-02 20:08:10.612135,16,1122.05,69.68,3,"Beauty, Books, Sports",1357.15,3,0.125,0.076,0.684,0.165,1.044,871
CUST_00099,18,M,Houston,2023-05-30 20:08:10.612135,8,465.82,57.05,4,"Books, Electronics",574.53,2,0.486,0.138,0.823,0.16,0.635,782
CUST_00100,25,M,Houston,2023-06-13 20:08:10.612135,9,1044.93,117.37,21,"Sports, Electronics, Clothing",1293.24,0,0.621,0.381,0.649,0.099,0.591,768
CUST_00101,18,M,Los Angeles,2024-12-01 20:08:10.612135,10,1017.99,98.17,4,"Home, Sports, Clothing",1822.25,1,0.359,0.069,0.343,0.05,0.997,231
CUST_00102,40,F,Chicago,2022-11-28 20:08:10.612135,18,2953.59,165.2,35,Clothing,3512.17,2,0.127,0.042,0.795,0.158,0.541,965
CUST_00103,30,F,San Antonio,2024-09-16 20:08:10.612135,6,692.85,110.98,1,Electronics,1104.73,4,0.195,0.026,0.41,0.122,1.061,307
CUST_00104,35,M,Chicago,2024-09-09 20:08:10.612135,7,911.85,130.62,13,"Home, Electronics, Clothing",1441.82,1,0.36,0.024,0.869,0.038,0.878,314
CUST_00105,50,M,Phoenix,2025-03-05 20:08:10.612135,6,1100.24,182.91,21,Beauty,2565.9,4,0.19,0.057,0.514,0.009,0.933,137
CUST_00106,30,M,San Jose,2025-07-08 20:08:10.612135,6,846.75,136.15,1,"Sports, Home, Beauty",13724.42,1,0.219,0.043,0.47,0.178,0.457,12
CUST_00107,35,M,Philadelphia,2023-12-17 20:08:10.612135,11,2125.82,192.97,1,Electronics,2793.57,1,0.751,0.238,0.723,0.079,0.526,581
CUST_00108,45,M,Philadelphia,2022-08-13 20:08:10.612135,13,758.0,58.57,13,Books,887.05,3,0.398,0.18,0.472,0.089,0.635,1072
CUST_00109,30,F,Houston,2023-03-12 20:08:10.612135,9,716.54,80.45,10,Clothing,868.42,2,0.227,0.084,0.689,0.091,0.735,861
CUST_00110,25,F,Philadelphia,2024-01-18 20:08:10.612135,7,433.94,63.82,29,"Home, Sports, Clothing",578.19,2,0.182,0.122,0.69,0.115,0.755,549
CUST_00111,30,Other,Chicago,2024-06-16 20:08:10.612135,7,944.81,134.51,12,"Beauty, Sports",1376.96,1,0.601,0.178,0.813,0.18,0.747,399
CUST_00112,25,F,San Antonio,2023-03-06 20:08:10.612135,8,696.53,84.45,10,"Electronics, Beauty",843.15,2,0.22,0.101,0.73,0.027,0.568,867
CUST_00113,50,F,San Antonio,2024-03-13 20:08:10.612135,5,758.03,154.44,17,"Home, Beauty",1038.07,0,0.462,0.125,0.221,0.175,0.906,494
CUST_00114,45,F,Houston,2024-12-27 20:08:10.612135,11,1188.21,105.32,19,"Electronics, Books",2246.01,3,0.478,0.097,0.955,0.132,0.891,205
CUST_00115,40,M,Los Angeles,2023-06-09 20:08:10.612135,15,2236.17,147.2,11,"Electronics, Home, Books",2764.8,3,0.444,0.096,0.776,0.072,1.085,772
CUST_00116,50,F,Austin,2025-02-04 20:08:10.612135,4,477.85,118.86,4,Electronics,1003.2,0,0.296,0.053,0.593,0.036,1.05,166
CUST_00117,45,F,San Antonio,2022-07-27 20:08:10.612135,19,1785.07,94.77,12,"Home, Beauty, Books",2084.22,1,0.398,0.037,0.528,0.107,1.041,1089
CUST_00118,25,F,Chicago,2024-01-11 20:08:10.612135,4,284.02,71.57,8,"Clothing, Beauty, Electronics",377.25,0,0.498,0.076,0.567,0.001,0.965,556
CUST_00119,50,F,New York,2025-05-11 20:08:10.612135,4,729.95,192.64,20,Sports,2633.05,1,0.232,0.027,0.956,0.079,0.828,70
CUST_00120,35,M,Los Angeles,2023-07-21 20:08:10.612135,13,878.8,67.83,6,"Beauty, Sports, Electronics",1098.5,4,0.273,0.014,0.653,0.146,0.946,730
CUST_00121,45,M,San Jose,2025-05-25 20:08:10.612135,14,1554.99,111.23,43,"Beauty, Sports",6622.59,2,0.411,0.113,0.405,0.012,1.16,56
CUST_00122,50,F,Dallas,2023-02-23 20:08:10.612135,5,668.42,136.69,1,"Home, Books, Beauty",807.36,2,0.176,0.095,0.988,0.04,0.692,878
CUST_00123,30,M,Jacksonville,2024-03-23 20:08:10.612135,15,1297.49,86.98,2,"Sports, Beauty",1786.72,0,0.149,0.008,0.551,0.083,0.613,484
CUST_00124,25,F,San Diego,2025-05-25 20:08:10.612135,5,258.58,53.79,7,"Home, Clothing, Books",1101.29,2,0.375,0.265,0.916,0.03,0.864,56
CUST_00125,30,F,Philadelphia,2023-09-01 20:08:10.612135,7,964.93,135.44,11,"Beauty, Books, Sports",1220.89,1,0.289,0.12,0.573,0.053,0.711,688
CUST_00126,35,F,Philadelphia,2023-05-30 20:08:10.612135,11,971.0,92.46,47,Sports,1197.61,2,0.401,0.051,0.818,0.097,0.921,782
CUST_00127,45,F,New York,2024-08-24 20:08:10.612135,15,1827.57,120.11,12,Beauty,2838.28,3,0.468,0.234,0.756,0.146,0.793,330
CUST_00128,50,M,Los Angeles,2023-06-16 20:08:10.612135,7,1026.65,147.94,36,"Clothing, Electronics",1271.57,0,0.126,0.037,0.883,0.074,0.819,765
CUST_00129,18,M,Houston,2025-07-11 20:08:10.612135,5,216.63,46.0,33,Electronics,4609.3,1,0.335,0.064,0.386,0.134,1.015,9
CUST_00130,35,F,Chicago,2022-07-22 20:08:10.612135,11,1402.83,131.11,55,"Beauty, Electronics",1636.85,4,0.371,0.05,0.443,0.194,0.508,1094
CUST_00131,35,F,New York,2024-05-14 20:08:10.612135,13,1581.49,118.48,1,"Clothing, Sports, Books",2249.6,2,0.703,0.166,0.278,0.094,0.489,432
CUST_00132,30,F,San Diego,2025-04-16 20:08:10.612135,8,1069.91,137.05,1,"Electronics, Home",3125.27,1,0.409,0.144,0.448,0.222,0.721,95
CUST_00133,25,M,San Antonio,2022-08-29 20:08:10.612135,14,767.97,55.87,64,"Sports, Clothing",900.7,4,0.275,0.026,0.782,0.011,0.991,1056
CUST_00134,30,M,Houston,2023-03-07 20:08:10.612135,10,1684.09,169.59,2,Beauty,2039.0,1,0.542,0.122,0.662,0.049,0.625,866
CUST_00135,55,F,Jacksonville,2024-08-02 20:08:10.612135,8,1287.69,160.89,58,Beauty,1955.32,1,0.034,0.011,0.366,0.251,0.715,352
CUST_00136,30,M,Jacksonville,2024-04-10 20:08:10.612135,9,539.04,59.38,32,"Home, Electronics",750.14,4,0.377,0.097,0.531,0.104,0.663,466
CUST_00137,35,F,Dallas,2023-11-23 20:08:10.612135,11,1249.87,113.72,31,"Home, Sports",1626.9,2,0.609,0.299,0.67,0.031,0.392,605
CUST_00138,40,M,Austin,2022-11-16 20:08:10.612135,17,1668.83,98.37,49,"Home, Electronics, Sports",1980.57,2,0.2,0.043,0.711,0.033,0.761,977
CUST_00139,30,F,Houston,2023-11-26 20:08:10.612135,18,1799.66,101.06,74,"Home, Beauty, Books",2345.23,2,0.097,0.036,0.491,0.212,0.922,602
CUST_00140,60,F,New York,2022-12-29 20:08:10.612135,6,668.45,109.89,9,"Sports, Beauty, Electronics",799.06,1,0.481,0.063,0.099,0.108,0.562,934
CUST_00141,55,F,San Jose,2023-01-12 20:08:10.612135,13,1363.42,106.04,1,Clothing,1633.88,2,0.425,0.033,0.626,0.013,0.97,920
CUST_00142,30,M,New York,2025-04-11 20:08:10.612135,13,1444.05,109.35,35,"Home, Books",4079.43,2,0.495,0.318,0.732,0.143,0.742,100
CUST_00143,35,F,New York,2022-12-09 20:08:10.612135,17,1872.77,110.65,9,"Electronics, Clothing",2231.03,6,0.111,0.035,0.327,0.283,0.688,954
CUST_00144,30,F,New York,2025-07-15 20:08:10.612135,7,1082.72,153.45,34,"Clothing, Books",40601.93,1,0.084,0.041,0.842,0.295,0.738,5
CUST_00145,30,M,Houston,2023-04-04 20:08:10.612135,8,895.11,110.02,43,"Home, Books, Sports",1090.04,3,0.336,0.168,0.717,0.096,0.908,838
CUST_00146,18,F,New York,2023-04-09 20:08:10.612135,6,577.42,96.42,21,"Electronics, Sports, Home",703.93,1,0.271,0.126,0.637,0.209,0.584,833
CUST_00147,40,F,Los Angeles,2025-03-20 20:08:10.612135,7,1081.49,155.01,10,"Beauty, Home, Electronics",2699.28,2,0.126,0.038,0.535,0.005,0.62,122
CUST_00148,35,F,Houston,2023-06-24 20:08:10.612135,18,2562.78,142.19,27,Sports,3180.62,1,0.558,0.064,0.555,0.067,0.556,757
CUST_00149,25,F,San Antonio,2024-01-14 20:08:10.612135,6,306.3,51.75,26,"Home, Beauty, Electronics",407.38,1,0.194,0.057,0.286,0.286,0.674,553
CUST_00150,30,M,Los Angeles,2025-07-05 20:08:10.612135,5,766.84,149.9,38,Home,10096.77,1,0.381,0.159,0.886,0.016,0.786,15
CUST_00151,50,M,San Diego,2024-12-03 20:08:10.612135,5,724.28,151.72,1,Home,1301.49,0,0.48,0.053,0.411,0.052,0.525,229
CUST_00152,30,M,San Antonio,2023-09-27 20:08:10.612135,11,1361.57,124.22,43,"Beauty, Sports",1736.93,3,0.394,0.048,0.479,0.129,0.814,662
CUST_00153,25,F,Dallas,2023-09-05 20:08:10.612135,5,471.0,90.38,17,Sports,596.66,0,0.424,0.135,0.845,0.076,0.659,684
CUST_00154,35,F,Philadelphia,2024-04-19 20:08:10.612135,12,1962.87,163.2,1,"Books, Clothing, Electronics",2746.73,1,0.685,0.184,0.111,0.004,1.092,457
CUST_00155,60,F,Houston,2024-10-15 20:08:10.612135,5,477.5,101.43,2,"Beauty, Home",790.97,2,0.197,0.089,0.48,0.057,0.714,278
CUST_00156,30,M,Philadelphia,2024-08-23 20:08:10.612135,7,491.78,70.4,55,"Electronics, Home, Books",762.92,2,0.258,0.075,0.356,0.008,0.828,331
CUST_00157,40,M,Houston,2025-01-03 20:08:10.612135,16,2256.25,141.43,104,Books,4335.87,1,0.481,0.112,0.687,0.01,0.817,198
CUST_00158,45,F,San Antonio,2025-06-14 20:08:10.612135,11,1298.57,117.07,6,Home,7881.57,3,0.441,0.201,0.351,0.012,0.535,36
CUST_00159,30,F,Dallas,2025-01-30 20:08:10.612135,13,1711.46,132.24,81,"Home, Clothing",3538.02,2,0.314,0.018,0.732,0.023,0.705,171
CUST_00160,40,M,Chicago,2023-03-25 20:08:10.612135,13,1711.39,130.68,40,"Home, Clothing, Electronics",2079.7,4,0.576,0.168,0.848,0.127,1.138,848
CUST_00161,30,F,Chicago,2023-12-10 20:08:10.612135,10,1144.69,114.05,10,"Electronics, Clothing",1499.97,2,0.297,0.036,0.981,0.057,0.927,588
CUST_00162,40,M,Los Angeles,2023-10-24 20:08:10.612135,9,925.22,102.22,88,Books,1191.13,2,0.478,0.135,0.884,0.132,0.804,635
CUST_00163,40,M,New York,2022-11-29 20:08:10.612135,9,837.83,93.93,37,"Electronics, Books, Clothing",996.44,1,0.515,0.095,0.621,0.1,0.817,964
CUST_00164,35,F,New York,2024-06-12 20:08:10.612135,14,1426.11,101.4,43,Home,2071.93,3,0.269,0.139,0.578,0.067,0.654,403
CUST_00165,25,M,Chicago,2022-09-02 20:08:10.612135,6,634.05,104.22,123,"Beauty, Sports",744.04,1,0.228,0.03,0.717,0.0,0.388,1052
CUST_00166,45,Other,San Antonio,2023-11-04 20:08:10.612135,20,3403.76,169.13,18,"Home, Clothing",4399.25,4,0.262,0.062,0.768,0.134,0.786,624
CUST_00167,30,M,Austin,2023-10-15 20:08:10.612135,18,1376.41,76.63,60,Sports,1766.46,0,0.662,0.054,0.647,0.016,0.969,644
